check,status,evidence,analytical_risk
required_files,pass,all required files present,
csv_table_count,pass,observed 48; expected 48,
completed_run,pass,state=completed; calls=762/762,
research_question_consistency,pass,analysis specification and metadata agree,
run_manifest,pass,750 manifested calls; finite runtime/PSP=True,
primary_scientific_grain,pass,rows=300; duplicate keys=0; seeds=20; combinations=5,
primary_metric_completeness,warning,nonfinite cells across all severities=10; high-endpoint finite=True,Some descriptive trajectory points use fewer numerical seeds; the reported n must be retained.
regional_features,pass,rows=379; expected=379,
raw_trace_manifest,pass,rows=180; unique=True; missing=0; size mismatches=0,
raw_trace_schema_sample,pass,"severity_0p0_seed_0011_pulse.npz:(3000, 34); severity_0p5_seed_0149_pulse.npz:(3000, 34); severity_1p0_seed_0503_5Hz.npz:(7250, 34)",
scientific_eligibility,warning,"fatal validity passed=True; statuses={'descriptive_only_quality_gate_failed': 5, 'direction_robust_exact_magnitude_descriptive_only': 2}",Some outcomes are direction-only or descriptive because quality or integration-step precision targets were not satisfied.
primary_status_consistency,warning,"outcome_eligibility.csv supersedes stale rows: transfer_gain/2Hz, transfer_gain/5Hz",Reading primary_interaction_statistics.csv alone can overstate eligibility.
