category,severity,outcome,probe,analysis_status,finding,evidence,interpretation
primary_hypothesis,caution,transfer_gain,2Hz,direction_robust_exact_magnitude_descriptive_only,Transfer gain — 2 Hz: Both proxy components increased relative to baseline; the semantic-associated increase was larger.,"semantic mean=9.99767; episodic mean=7.7645; interaction mean=2.23317 log2 ratio; numerical 95% CI [2.02741, 2.43893]; sign-consistent=True","The differential favors the semantic proxy, but the components do not show literal semantic stability plus episodic decline."
primary_hypothesis,caution,transfer_gain,5Hz,direction_robust_exact_magnitude_descriptive_only,Transfer gain — 5 Hz: Both proxy components increased relative to baseline; the semantic-associated increase was larger.,"semantic mean=9.12498; episodic mean=6.95254; interaction mean=2.17244 log2 ratio; numerical 95% CI [1.92217, 2.42271]; sign-consistent=True","The differential favors the semantic proxy, but the components do not show literal semantic stability plus episodic decline."
primary_hypothesis,caution,functional_connectivity,2Hz,descriptive_only_quality_gate_failed,Functional connectivity — 2 Hz: Both proxy components decreased relative to baseline; the semantic-associated decrease was smaller.,"semantic mean=-2.13021; episodic mean=-2.19417; interaction mean=0.0639665 Fisher-z difference; numerical 95% CI [0.0600392, 0.0678938]; sign-consistent=True","The relative direction favors the semantic proxy, but this outcome is descriptive because its quality gate failed."
primary_hypothesis,caution,functional_connectivity,5Hz,descriptive_only_quality_gate_failed,Functional connectivity — 5 Hz: Both proxy components decreased relative to baseline; the semantic-associated decrease was smaller.,"semantic mean=-1.28235; episodic mean=-1.35116; interaction mean=0.0688088 Fisher-z difference; numerical 95% CI [0.0615203, 0.0760972]; sign-consistent=True","The relative direction favors the semantic proxy, but this outcome is descriptive because its quality gate failed."
primary_hypothesis,caution,response_latency,pulse,descriptive_only_quality_gate_failed,Response latency — pulse: Both proxy response latencies lengthened; the semantic-associated delay increased more.,"semantic mean=529.05; episodic mean=165.575; interaction mean=363.475 ms; numerical 95% CI [316.245, 410.705]; sign-consistent=True",A positive contrast means the semantic proxy became more delayed than the episodic proxy; it is not evidence of semantic timing preservation.
counterfactual,context,functional_connectivity,2Hz,model_internal_sensitivity,Local-dynamics-fixed interaction magnitude was 10.8% larger (signed attenuation -10.8%).,"range [-101.2%, 2.5%]","This is model-internal dependence on the perturbed local dynamics, not biological causality."
counterfactual,context,functional_connectivity,5Hz,model_internal_sensitivity,Local-dynamics-fixed interaction magnitude was 22.4% larger (signed attenuation -22.4%).,"range [-423.3%, 17.0%]","This is model-internal dependence on the perturbed local dynamics, not biological causality."
counterfactual,context,response_latency,pulse,model_internal_sensitivity,Local-dynamics-fixed median attenuation was 80.5%.,"range [-228.7%, 92.1%]","This is model-internal dependence on the perturbed local dynamics, not biological causality."
counterfactual,context,transfer_gain,2Hz,model_internal_sensitivity,Local-dynamics-fixed median attenuation was 72.5%.,"range [47.0%, 83.4%]","This is model-internal dependence on the perturbed local dynamics, not biological causality."
counterfactual,context,transfer_gain,5Hz,model_internal_sensitivity,Local-dynamics-fixed median attenuation was 71.6%.,"range [20.3%, 81.3%]","This is model-internal dependence on the perturbed local dynamics, not biological causality."
matched_control,context,functional_connectivity,2Hz,descriptive_simulation_null,Observed interaction was outside its matched-control central 90% range for 0/20 numerical seeds.,median empirical percentile=47.7,"These are model-generated reference distributions, not clinical p-values."
matched_control,context,functional_connectivity,5Hz,descriptive_simulation_null,Observed interaction was outside its matched-control central 90% range for 0/20 numerical seeds.,median empirical percentile=56.7,"These are model-generated reference distributions, not clinical p-values."
matched_control,context,response_latency,pulse,descriptive_simulation_null,Observed interaction was outside its matched-control central 90% range for 0/20 numerical seeds.,median empirical percentile=38.5,"These are model-generated reference distributions, not clinical p-values."
matched_control,context,transfer_gain,2Hz,descriptive_simulation_null,Observed interaction was outside its matched-control central 90% range for 6/20 numerical seeds.,median empirical percentile=81.4,"These are model-generated reference distributions, not clinical p-values."
matched_control,context,transfer_gain,5Hz,descriptive_simulation_null,Observed interaction was outside its matched-control central 90% range for 4/20 numerical seeds.,median empirical percentile=88.7,"These are model-generated reference distributions, not clinical p-values."
spatial_shuffle,context,transfer_gain,2Hz,descriptive_simulation_null,Observed empirical percentile among 50 spatial shuffles was 100.0.,"shuffle central 90% [-0.651892, 2.21507]",The coarse shuffle rank is descriptive and is not a clinical or population p-value.
spatial_shuffle,context,transfer_gain,5Hz,descriptive_simulation_null,Observed empirical percentile among 50 spatial shuffles was 98.0.,"shuffle central 90% [-0.605125, 2.18036]",The coarse shuffle rank is descriptive and is not a clinical or population p-value.
spatial_shuffle,context,functional_connectivity,2Hz,descriptive_simulation_null,Observed empirical percentile among 50 spatial shuffles was 52.9.,"shuffle central 90% [-0.0742141, 0.133059]",The coarse shuffle rank is descriptive and is not a clinical or population p-value.
spatial_shuffle,context,functional_connectivity,5Hz,descriptive_simulation_null,Observed empirical percentile among 50 spatial shuffles was 39.2.,"shuffle central 90% [-0.0445778, 0.133476]",The coarse shuffle rank is descriptive and is not a clinical or population p-value.
parameter_sensitivity,caution,functional_connectivity,2Hz,sensitivity_only,G100 reverses the interaction sign: mean=-0.536097.,"numerical 95% CI [-0.690625, -0.381569]",The direction is parameter-sensitive and should not be generalized beyond the locked G60 main configuration.
parameter_sensitivity,caution,functional_connectivity,5Hz,sensitivity_only,G100 reverses the interaction sign: mean=-0.3833.,"numerical 95% CI [-0.604146, -0.162454]",The direction is parameter-sensitive and should not be generalized beyond the locked G60 main configuration.
