network,analysis_role,evidence_component,label,hemisphere,zero_based_index,interpretation
a1_input,stimulus,auditory_input,L_A1,L,23,Bilateral primary auditory cortex.
a1_input,stimulus,auditory_input,R_A1,R,203,Bilateral primary auditory cortex.
semantic_expanded,primary,union,L_9m,L,68,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_9m,R,248,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_10r,L,64,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_10r,R,244,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_10v,L,87,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_10v,R,267,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_8BM,L,62,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_8BM,R,242,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_25,L,163,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_25,R,343,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,R_TE1a,R,311,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_TF,L,134,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
semantic_expanded,primary,union,L_STSda,L,127,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_31pd,L,160,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_31pd,R,340,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_31pv,L,34,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_31pv,R,214,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_d23ab,L,33,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_d23ab,R,213,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_v23ab,L,32,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_v23ab,R,212,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_23d,L,31,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_23d,R,211,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_31a,L,161,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_31a,R,341,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_PCV,L,26,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_PCV,R,206,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,L_7m,L,29,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_7m,R,209,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_IP1,R,324,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_11l,R,270,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
episodic_expanded,primary,union,R_8Av,R,246,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_9m,L,68,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_9m,R,248,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_10r,L,64,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_10r,R,244,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_10v,L,87,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_10v,R,267,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_8BM,L,62,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_8BM,R,242,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_25,L,163,Bilateral medial-prefrontal/anterior-cingulate core.
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_25,R,343,Bilateral medial-prefrontal/anterior-cingulate core.
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_31pd,L,160,Bilateral posterior-cingulate/medial-parietal core.
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_31pd,R,340,Bilateral posterior-cingulate/medial-parietal core.
